Date,Open,High,Low,Close,Volume,Label,News
2014-05-26,262.33,263.14,263.87,261.99,45700,0,0.683333333
2014-05-27,260.36,262.92,263.22,259.31,46500,1,0.548494983
2014-05-28,263.01,260.83,263.01,260.46,52000,1,0.607843137
2014-05-29,262.57,263.61,263.98,262.15,57900,0,0.497058824
2014-05-30,259.94,263.07,263.68,259.93,90300,1,0.516791045
2014-06-02,261.4,260.49,261.92,260.49,52300,0,0.533536585
2014-06-03,262.22,262.1,262.32,260.07,73500,0,0.60511883
2014-06-05,260.56,262.27,262.28,259.31,80300,0,0.721436344
2014-06-09,259.68,261.97,262.45,259.18,64800,1,0.689054726
2014-06-10,262.64,261.24,262.77,260.36,58600,1,0.580052493
2014-06-11,262.62,262.19,263.19,261.58,62300,0,0.540462428
2014-06-12,262.01,262.57,262.83,260.83,64400,0,0.627777778
2014-06-13,258.75,261.09,261.11,257.89,49900,1,0.604060914
2014-06-16,259.43,258.16,259.7,258.04,57200,1,0.604904632
2014-06-17,260.43,259.57,260.74,259.02,57900,0,0.650154799
2014-06-18,258.7,260.46,260.46,258.31,52400,0,0.565656566
2014-06-19,258.83,259.19,259.95,258.15,59300,0,0.777456647
2014-06-20,255.31,258.65,258.7,255.03,68500,1,0.630067568
2014-06-23,256.77,256.43,257.55,256,52700,1,0.546511628
2014-06-24,259.75,257.1,260.38,257.04,65800,1,0.551724138
2014-06-25,258.16,259.51,259.72,257.99,57600,1,0.575
2014-06-26,260.03,258.2,260.46,258.11,62500,1,0.512987013
2014-06-27,258.78,259.28,260.13,258.25,53400,1,0.540540541
2014-06-30,260.56,259.81,260.64,259.14,51500,0,0.426433915
2014-07-01,259.74,259.14,259.93,258.49,50600,1,0.475177305
2014-07-02,262.04,261.01,262.23,260.19,67500,1,0.449864499
2014-07-03,261.13,262.03,262.03,260.71,56200,0,0.523684211
2014-07-04,260.63,262.09,262.09,260.08,47200,0,0.566510172
2014-07-07,259.95,260.18,260.48,258.88,47800,0,0.688888889
2014-07-08,259.93,259.7,260.76,258.74,46700,0,0.67961165
2014-07-09,258.87,258.6,259.01,257.83,56600,1,0.611570248
2014-07-10,259.17,259.4,259.73,258.74,57200,0,0.501228501
2014-07-11,256.72,257.14,257.81,256.23,54100,1,0.592039801
2014-07-14,257.27,258.11,258.59,257.27,51300,1,0.605597964
2014-07-15,260.4,258.87,260.79,258.79,66200,1,0.567567568
2014-07-16,260.82,260.85,261.19,260.27,67600,1,0.530927835
2014-07-17,261.93,261.8,262.65,261.52,71800,0,0.567404427
2014-07-18,261.66,259.97,261.68,259.78,82200,1,0.569306931
2014-07-21,261.51,262.88,263.33,261.26,54600,1,0.516034985
2014-07-22,262.86,261.94,262.86,261.39,52100,1,0.600609756
2014-07-23,262.56,263.34,263.67,262,84300,0,0.532066508
2014-07-24,262.72,263.28,263.72,261.86,90700,1,0.615384615
2014-07-25,263.47,263.13,263.84,262.55,69700,1,0.729200653
2014-07-28,265.53,263.77,266.4,263.74,90700,1,0.64380531
2014-07-29,268.01,266.2,268.31,266.04,107100,1,0.586956522
2014-07-30,271.17,268.44,272.83,268.21,113700,1,0.477678571
2014-07-31,269.68,270.93,272.12,269.15,102600,0,0.494172494
2014-08-01,268.56,268.01,269.88,267.8,80900,1,0.492307692
2014-08-04,269.65,269.66,270.09,267.9,67200,0,0.605392157
2014-08-05,267.63,268.92,269.14,266.54,87500,0,0.673123487
2014-08-06,266.6,267.12,267.85,265.92,94600,0,0.637254902
2014-08-07,265.64,266.73,266.94,264.76,63500,0,0.626794258
2014-08-08,262.02,264.74,265.08,261.53,72400,1,0.605978261
2014-08-11,263.32,264.59,264.59,262.99,61200,1,0.633027523
2014-08-12,263.34,264.54,265.75,263.08,70300,1,0.601449275
2014-08-13,265.91,264.14,265.91,263.3,70900,1,0.643874644
2014-08-14,265.88,266.47,267.37,264.94,63800,0,0.51793722
2014-08-18,264.24,267.03,267.29,264.24,60700,1,0.534946237
2014-08-19,266.62,266.07,267.17,265.87,68100,0,0.642679901
2014-08-20,266.79,268.03,268.28,265.52,70800,0,0.724832215
2014-08-21,262.53,265.98,266.12,262.14,70900,1,0.804455446
2014-08-22,264.26,263.08,264.43,262.8,54800,0,0.610778443
2014-08-25,264.46,262.89,264.69,262.19,57800,1,0.591715976
2014-08-26,265.14,265.51,266.07,264.97,60600,1,0.6359447
2014-08-27,265.88,266.12,267.04,265.42,73600,1,0.595108696
2014-08-28,266.19,267.24,268.13,265.66,57000,0,0.618666667
2014-08-29,265.41,265.38,266.1,264.03,61000,1,0.65892598
2014-09-01,265.27,265.28,265.93,264.58,54100,0,0.693548387
2014-09-02,262.61,264.96,265,262.29,58000,0,0.670918367
2014-09-03,262.27,262.49,263.02,260.87,78800,1,0.676328502
2014-09-04,263.19,263.52,264.41,262.37,68700,0,0.622739018
